COM ELASTANO;R$ 101,14;R$ 71,14;R$ 61,14;R$ 56,14;R$ 53,14;R$ 51,14;R$ 49,71;R$ 48,64;R$ 47,81;R$ 31,81;R$ 29,71;R$ 28,66;R$ 28,03;R$ 25,73;R$ 23,46;;;
COM ELASTANO PLUS SIZE;R$ 109,23;R$ 79,23;R$ 69,23;R$ 64,23;R$ 61,23;R$ 59,23;R$ 57,80;R$ 56,73;R$ 55,90;R$ 36,82;R$ 34,72;R$ 33,67;R$ 33,04;R$ 30,26;R$ 27,75;;;
TECH TSHIRT MICRO MODAL;R$ 139,90;R$ 109,90;R$ 99,90;R$ 94,90;R$ 91,90;R$ 89,90;R$ 88,47;R$ 87,40;R$ 86,57;R$ 55,84;R$ 53,74;R$ 52,69;R$ 52,06;R$ 47,43;R$ 44,01;;;
STREET WEAR;R$ 98,50;R$ 68,50;R$ 58,50;R$ 53,50;R$ 50,50;R$ 48,50;R$ 47,07;R$ 46,00;R$ 45,17;R$ 30,17;R$ 28,07;R$ 27,02;R$ 26,39;R$ 24,25;R$ 22,07;;;
CAMISETA OVERSIZED MALHÃO;R$ 115,55;R$ 85,55;R$ 75,55;R$ 70,55;R$ 67,55;R$ 65,55;R$ 64,12;R$ 63,05;R$ 62,22;R$ 61,85;R$ 38,64;R$ 37,59;R$ 36,96;R$ 33,80;R$ 31,10;;;
CAMISA POLO;R$ 113,90;R$ 83,90;R$ 73,90;R$ 68,90;R$ 65,90;R$ 63,90;R$ 62,47;R$ 61,40;R$ 60,57;R$ 39,72;R$ 37,62;R$ 36,57;R$ 35,94;R$ 32,85;R$ 30,23;;;
MOLETOM;R$ 147,18;R$ 117,18;R$ 107,18;R$ 102,18;R$ 99,18;R$ 97,18;R$ 95,75;R$ 94,68;R$ 93,85;R$ 60,35;R$ 58,25;R$ 57,20;R$ 56,57;R$ 51,51;R$ 47,87;;;
MOLETOM CANGURU;R$ 159,90;R$ 129,90;R$ 119,90;R$ 114,90;R$ 111,90;R$ 109,90;R$ 108,47;R$ 107,40;R$ 106,57;R$ 68,24;R$ 66,14;R$ 65,09;R$ 64,46;R$ 58,63;R$ 53,91;;;
CORTA VENTO;R$ 100,00;R$ 87,50;R$ 83,33;R$ 81,25;R$ 80,00;R$ 79,17;R$ 78,57;R$ 78,13;R$ 77,78;R$ 77,50;R$ 51,57;R$ 51,15;R$ 50,90;R$ 50,86;R$ 50,40;;;
OVERSIZED CAMISETA ALGODÃO;R$ 73,00;R$ 48,50;R$ 40,33;R$ 36,25;R$ 33,80;R$ 32,17;R$ 31,00;R$ 30,13;R$ 29,44;R$ 28,90;R$ 27,27;R$ 26,45;R$ 25,96;R$ 25,88;R$ 24,98;;;
JAQUETA BOBOJACO;R$ 161,00;R$ 141,00;R$ 134,33;R$ 131,00;R$ 129,00;R$ 127,67;R$ 126,71;R$ 126,00;R$ 125,44;R$ 125,00;R$ 123,67;R$ 123,00;R$ 122,60;R$ 122,54;R$ 121,80;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;26 a 49;50 a 99;;;
COM LUCRO;1;2;3;4;5;6;7;8;9;10;15;20;25;26;50;;;
CAMISETA ALGODÃO;R$ 111,85;R$ 81,85;R$ 71,85;R$ 66,85;R$ 61,35;R$ 59,35;R$ 57,92;R$ 56,85;R$ 56,02;R$ 39,15;R$ 37,05;R$ 36,00;R$ 35,37;R$ 33,33;R$ 31,19;;;
CAMISETA OVERSIZED MALHÃO;R$ 130,55;R$ 100,55;R$ 90,55;R$ 85,55;R$ 80,05;R$ 78,05;R$ 76,62;R$ 75,55;R$ 74,72;R$ 71,85;R$ 48,64;R$ 47,59;R$ 46,96;R$ 43,80;R$ 41,10;;;
CAMISA POLO;R$ 128,90;R$ 98,90;R$ 88,90;R$ 83,90;R$ 78,40;R$ 76,40;R$ 74,97;R$ 73,90;R$ 73,07;R$ 49,72;R$ 47,62;R$ 46,57;R$ 45,94;R$ 42,85;R$ 40,23;;;
MOLETOM;R$ 177,18;R$ 147,18;R$ 137,18;R$ 132,18;R$ 119,18;R$ 117,18;R$ 115,75;R$ 114,68;R$ 113,85;R$ 80,35;R$ 78,25;R$ 77,20;R$ 76,57;R$ 71,51;R$ 67,87;;;
MOLETOM CANGURU;R$ 189,90;R$ 159,90;R$ 149,90;R$ 144,90;R$ 131,90;R$ 129,90;R$ 128,47;R$ 127,40;R$ 126,57;R$ 88,24;R$ 86,14;R$ 85,09;R$ 84,46;R$ 78,63;R$ 73,91;;;
